2016-12-02 19:29:21,857 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2303,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:21,875 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2303,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:21,935 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2303,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:21,980 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2303,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,032 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2303,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,068 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,121 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,171 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,220 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,268 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,317 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,354 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,390 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,427 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,456 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,491 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,542 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,587 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2307,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,629 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,679 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,718 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,754 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,773 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,813 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,866 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,894 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,942 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:22,990 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,003 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,019 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,079 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2315,year=2015 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,125 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2001 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,351 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,389 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,470 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,501 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,586 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,628 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,697 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,735 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,777 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,813 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,858 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:23,901 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,313 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2317,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,364 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,429 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,474 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,550 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,588 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,648 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,701 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,724 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,745 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,797 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,817 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,840 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,863 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2321,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,884 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:24,913 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,253 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,303 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,341 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,368 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,403 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,446 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,489 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,534 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2011 [main] (ReportWordCount.java:49)
